,cluster,word,frequency
766,93.0,cabezas,133
767,344.0,cable,234
768,206.0,cables,303
769,344.0,cabo,1803
770,93.0,cacao,112
771,93.0,cada,12365
772,200.0,cadaveres,75
773,206.0,cadena,97
774,344.0,cadenas,211
775,200.0,cae,148
776,122.0,caen,81
777,466.0,caer,300
778,93.0,cafe,1032
779,457.0,caida,100
780,549.0,caido,234
781,344.0,caidos,218
782,111.0,caja,69
783,93.0,cajas,130
784,206.0,calamidades,131
785,93.0,calcula,147
786,549.0,calculado,85
787,111.0,calculamos,79
788,93.0,calcular,119
789,200.0,calculen,181
790,93.0,calculo,266
791,93.0,calculos,318
792,93.0,calidad,1809
793,70.0,calificacion,85
794,70.0,calificado,134
795,70.0,calificados,213
796,361.0,calificar,95
797,344.0,calle,574
798,200.0,calles,487
799,466.0,calma,122
800,466.0,calor,328
801,93.0,calorias,77
802,344.0,calumnia,95
803,344.0,calumnias,192
804,93.0,calzado,139
805,70.0,camaguey,961
806,200.0,camagueyanos,106
807,344.0,camara,97
808,344.0,camarilla,87
809,93.0,camas,241
810,365.0,cambia,147
811,549.0,cambiado,227
812,200.0,cambian,98
813,361.0,cambiando,118
814,437.0,cambiar,464
815,593.0,cambio,1287
816,272.0,cambios,573
817,200.0,camilo,291
818,206.0,caminar,107
819,466.0,camino,2349
820,70.0,caminos,900
821,93.0,camion,253
822,93.0,camiones,471
823,365.0,camisa,79
824,70.0,campamento,346
825,70.0,campamentos,233
826,344.0,campana,949
827,344.0,campanas,628
828,365.0,campeon,70
829,122.0,campeones,100
830,70.0,campesina,275
831,299.0,campesinado,112
832,70.0,campesinas,503
833,93.0,campesino,1360
834,542.0,campesinos,3583
835,70.0,campo,3852
836,70.0,campos,1734
837,93.0,cana,4200
838,344.0,canada,226
839,344.0,canal,160
840,70.0,canales,172
841,93.0,canas,507
842,122.0,canaverales,85
843,111.0,cancer,109
844,344.0,candidato,99
845,361.0,candidatos,276
846,207.0,candidatura,120
847,93.0,canera,246
848,93.0,caneras,296
849,365.0,canero,83
850,93.0,caneros,186
851,344.0,canones,275
852,70.0,cantera,81
853,93.0,cantidad,1497
854,93.0,cantidades,746
855,312.0,caos,164
856,93.0,capa,118
857,466.0,capaces,1384
858,93.0,capacidad,2166
859,93.0,capacidades,458
860,70.0,capacitacion,102
861,70.0,capas,120
862,466.0,capaz,1340
863,93.0,capita,409
864,70.0,capital,2641
865,93.0,capitales,236
866,466.0,capitalismo,1334
867,93.0,capitalista,1000
868,93.0,capitalistas,969
869,344.0,capitan,111
870,200.0,capricho,71
871,206.0,cara,193
872,344.0,caracas,75
873,70.0,caracter,951
874,365.0,caracteristica,80
875,272.0,caracteristicas,388
876,365.0,caracteriza,109
877,549.0,caracterizado,82
878,200.0,caras,89
879,93.0,carbon,173
880,344.0,carcel,147
881,200.0,cardenas,79
882,70.0,cardiovascular,70
883,111.0,carece,71
884,111.0,carecen,77
885,93.0,carga,295
886,93.0,cargar,142
887,361.0,cargo,328
888,77.0,cargos,207
889,344.0,caribe,670
890,69.0,caribenos,136
891,466.0,carino,302
892,344.0,carlos,319
893,93.0,carne,996
894,93.0,caro,355
895,93.0,caros,83
896,383.0,carrera,445
897,70.0,carreras,139
898,93.0,carretas,70
899,93.0,carretera,526
900,93.0,carreteras,477
901,344.0,carriles,150
902,206.0,carro,149
903,93.0,carros,143
904,344.0,carta,355
905,206.0,cartas,95
906,206.0,casa,1619
907,93.0,casas,1351
908,200.0,casi,4177
909,207.0,caso,2400
910,344.0,cason,68
911,77.0,casos,1594
912,344.0,castigar,89
913,466.0,castigo,201
914,344.0,castro,984
915,206.0,casualidad,213
916,593.0,catastrofe,177
917,593.0,categoria,181
918,70.0,caudal,108
919,466.0,causa,1232
920,466.0,causas,501
921,383.0,cauto,86
922,361.0,cayendo,70
923,344.0,cayeron,466
924,344.0,cayo,391
925,70.0,cdr,142
926,93.0,cebu,178
927,361.0,ceiba,69
928,200.0,celebrar,128
929,93.0,cemento,828
930,361.0,censo,77
931,93.0,centavo,472
932,93.0,centavos,616
933,111.0,centenares,84
934,361.0,centenario,86
935,93.0,central,1415
936,93.0,centrales,1139
937,70.0,centro,1778
938,344.0,centroamerica,334
939,69.0,centroamericanos,81
940,70.0,centros,2304
941,93.0,cerca,1023
942,93.0,cerdo,156
943,93.0,cerdos,147
944,466.0,cerebro,109
945,77.0,cerebros,88
946,93.0,cero,266
947,549.0,cerrado,96
948,200.0,cerrar,77
949,93.0,cerveza,95
950,312.0,cesar,122
951,344.0,cese,167
952,344.0,cespedes,178
953,344.0,chantaje,83
954,344.0,chavez,114
955,344.0,che,724
956,344.0,checoslovaquia,204
957,344.0,chile,692
958,344.0,chilena,135
959,344.0,chileno,249
960,200.0,chilenos,177
961,344.0,china,528
962,344.0,chino,103
963,206.0,chinos,156
964,206.0,chivatos,72
965,593.0,choque,93
966,365.0,chovinismo,79
967,344.0,cia,469
968,361.0,ciclo,94
969,93.0,ciclon,318
970,361.0,ciclones,178
971,93.0,ciego,187
972,77.0,ciegos,112
973,200.0,cielo,195
974,272.0,cien,312
975,122.0,cienaga,156
976,70.0,ciencia,886
977,70.0,ciencias,442
978,70.0,cienfuegos,567
979,70.0,cientifica,210
980,70.0,cientificas,150
981,70.0,cientifico,412
982,70.0,cientificos,534
983,93.0,ciento,1628
984,70.0,cientos,2696
985,225.0,cierta,594
986,365.0,ciertamente,289
987,280.0,ciertas,368
988,278.0,cierto,1563
989,206.0,ciertos,406
990,93.0,cifra,998
991,93.0,cifras,711
992,93.0,cigarro,85
993,77.0,cigarros,75
994,93.0,cinco,2277
995,272.0,cincuenta,186
996,206.0,cine,276
997,344.0,cinismo,91
998,93.0,circulacion,93
999,70.0,circulo,384
1000,70.0,circulos,828
1001,361.0,circunscripcion,130
1002,466.0,circunstancia,441
1003,466.0,circunstancias,1317
1004,70.0,cirugia,126
1005,93.0,citar,270
1006,207.0,cito,79
1007,93.0,citrico,111
1008,93.0,citricos,382
1009,70.0,ciudad,2469
1010,466.0,ciudadania,119
1011,466.0,ciudadano,934
1012,344.0,ciudadanos,1194
1013,70.0,ciudades,962
1014,344.0,civil,267
1015,344.0,civiles,231
1016,593.0,civilizacion,139
1017,361.0,civilizaciones,74
1018,339.0,clara,807
1019,207.0,claramente,150
1020,437.0,claras,162
1021,466.0,claridad,424
1022,207.0,claro,2952
1023,466.0,claros,127
1024,466.0,clase,1951
1025,70.0,clases,1162
1026,207.0,clausura,104
1027,207.0,clave,106
1028,93.0,clima,444
1029,70.0,clinicas,67
1030,70.0,clinico,76
1031,344.0,clinton,108
1032,70.0,club,192
1033,206.0,cmdte,435
1034,344.0,cobarde,171
1035,344.0,cobardes,190
1036,365.0,cobardia,71
1037,111.0,cobra,125
1038,93.0,cobraban,67
1039,93.0,cobran,137
1040,77.0,cobrando,68
1041,206.0,cobrar,213
1042,93.0,cobre,232
1043,299.0,cobro,71
1044,593.0,cocaina,72
1045,93.0,cocina,117
1046,344.0,cohetes,170
1047,365.0,cola,105
1048,542.0,colaboracion,687
1049,344.0,colaboradores,101
1050,200.0,colaborar,105
1051,200.0,colas,68
1052,457.0,colectiva,77
1053,70.0,colectivo,233
1054,70.0,colectivos,78
1055,200.0,colegio,70
1056,344.0,colombia,226
1057,344.0,colonia,246
1058,344.0,coloniaje,111
1059,344.0,colonial,156
1060,344.0,colonialismo,394
1061,344.0,colonialistas,172
1062,344.0,colonias,198
1063,77.0,colonos,174
1064,77.0,color,142
1065,77.0,colores,75
1066,365.0,colosal,248
1067,593.0,colosales,85
1068,344.0,columbia,85
1069,272.0,columna,301
1070,361.0,columnas,185
1071,344.0,comandante,233
1072,344.0,combate,824
1073,344.0,combaten,124
1074,344.0,combates,294
1075,344.0,combatiendo,245
1076,344.0,combatiente,227
1077,344.0,combatientes,1246
1078,344.0,combatieron,84
1079,344.0,combatir,760
1080,457.0,combativa,117
1081,457.0,combativo,89
1082,207.0,combinacion,106
1083,93.0,combinada,98
1084,93.0,combinadas,346
1085,93.0,combinado,159
1086,93.0,combustible,1179
1087,93.0,combustibles,73
1088,93.0,come,96
1089,93.0,comedor,100
1090,93.0,comedores,150
1091,69.0,comenzaba,70
1092,549.0,comenzado,99
1093,200.0,comenzamos,84
1094,207.0,comenzando,97
1095,70.0,comenzar,324
1096,361.0,comenzara,113
1097,70.0,comenzaran,104
1098,344.0,comenzaron,363
1099,344.0,comenzo,646
1100,93.0,comer,189
1101,312.0,comercial,263
1102,93.0,comerciales,266
1103,77.0,comerciantes,68
1104,593.0,comerciar,72
